TransactionID , date ,Product,Revenue
3125,"Jun 06, 2023",B,228.82
3126,"Jun 07, 2023",A,293.31
3127,"Jun 08, 2023",B,364.09
3128,"Jun 09, 2023",A,490.18
3129,"Jun 10, 2023",C,108.77
3130,"Jun 11, 2023",B,243.74
3131,"Jun 12, 2023",B,138.99
3132,"Jun 13, 2023",A,324.73
3133,"Jun 14, 2023",A,430.55
3134,"Jun 15, 2023",A,323.51
3135,"Jun 16, 2023",A,465.37
3136,"Jun 17, 2023",A,201.18
3137,"Jun 18, 2023",B,134.26
3138,"Jun 19, 2023",A,133.89
3139,"Jun 20, 2023",B,339.18
3140,"Jun 21, 2023",C,332.18
3141,"Jun 22, 2023",B,498.05
3142,"Jun 23, 2023",A,472.97
3143,"Jun 24, 2023",C,123.25
3144,"Jun 25, 2023",A,156.42
3145,"Jun 26, 2023",A,291.71
3146,"Jun 27, 2023",C,293.13
3147,"Jun 28, 2023",C,384.4
3148,"Jun 29, 2023",B,213.34
3149,"Jun 30, 2023",C,413.6
